inning,estimated_woba_using_speedangle,outs_when_up,Swing
2,0.201,0,0
1,1.019,2,
1,0.008,1,0
1,0.538,1,0
1,0.158,0,0
1,0.125,0,0
5,0.013,1,1
7,0.055,2,
6,0.112,2,
5,0.385,2,
7,0.077,2,
6,0.804,0,0
7,0.085,2,
6,0.119,0,0
5,0.617,2,
5,0.061,1,1
6,0.098,0,0
5,0.141,0,1
4,0.044,2,
5,0.1,2,
6,0.106,0,0
4,0.231,2,
7,0.104,1,0
4,0.525,2,
6,0.628,1,1
4,0.242,0,1
5,0.011,0,0
5,0.763,1,0
4,0.086,0,0
2,0.066,2,
4,0.069,0,0
4,1.046,1,0
4,0.108,1,0
4,0.049,2,
4,0.082,0,0
2,0.223,2,
2,0.217,0,0
1,0.108,2,
3,0.034,0,0
1,0.302,2,
1,0.212,2,
2,0.129,0,0
1,0.03,2,
1,0.159,2,
1,0.234,0,0
1,0.049,0,0
8,0.014,1,0
7,0.115,0,0
6,0.046,2,
6,0.003,1,0
6,0.524,0,0
4,0.061,1,1
6,0.086,0,1
5,0.034,2,
5,0.022,0,1
6,0.199,0,0
5,0.555,2,
5,0.24,2,
4,0.465,0,0
5,0.011,1,1
4,0.062,2,
5,0.304,1,0
4,1.357,2,
5,0.623,2,
4,0.008,0,0
4,0.28,1,1
5,0.193,1,1
4,0.561,1,0
3,0.071,2,
3,0.041,0,0
2,0.231,2,
4,0.267,0,0
3,0.471,2,
3,0.859,1,0
3,0.487,1,0
3,0.402,0,1
1,0.129,2,
2,0,2,
1,0.015,1,0
2,0.82,0,0
2,0.208,1,0
1,0.012,2,
1,0.681,1,0
1,0.538,1,0
1,0.182,0,0
1,0.254,0,0
1,0.148,0,0
7,0.006,0,0
4,0.009,2,
6,0.008,0,0
5,0.566,2,
7,0.273,2,
5,0.7,0,0
4,0.003,1,0
4,0.141,0,0
4,0.007,1,1
4,0.01,1,0
6,0.25,0,0
4,0.015,2,
3,0.156,2,
3,0.003,2,
3,0.044,2,
3,0.021,2,
3,0.036,1,0
3,0.105,2,
3,0.07,0,0
3,0.425,0,0
2,0.108,2,
2,0.229,2,
1,0.319,2,
3,0.442,1,0
2,0.341,2,
2,0.495,0,0
2,0.484,2,
2,0.015,0,1
1,0.088,1,0
1,0.021,1,1
1,0.059,0,0
1,0.125,1,0
1,0.161,0,1
1,0.152,2,
1,0.632,1,0
1,0.071,0,1
6,1.423,2,
8,0.084,1,1
7,0.167,0,0
6,0,1,0
6,0.319,1,0
6,0.08,0,0
5,0.156,1,0
5,0.273,0,1
5,0.165,0,0
6,0.17,0,1
4,0.253,1,0
4,0.254,0,1
4,0.015,1,0
4,0.28,2,
4,0.077,0,0
2,0.015,1,0
3,0.046,2,
3,0.172,1,0
5,0.09,0,0
3,0.021,2,
4,0.469,2,
4,0.152,0,1
3,0.038,2,
3,0.119,1,0
2,0.465,2,
2,0.005,1,0
2,0.022,2,
2,0.03,2,
2,0.07,1,1
2,0.008,0,1
2,0,2,
2,0.553,0,0
2,0.532,0,0
2,0.764,2,
2,0.159,2,
1,0.113,2,
1,0.05,2,
1,0.007,0,0
1,0.046,1,0
1,0.515,0,0
1,0.007,0,0
1,0,0,0
6,0.041,1,0
5,0.111,1,0
5,0.801,0,1
5,0.037,2,
5,0.496,2,
5,0.089,1,0
5,0.387,0,0
4,0.066,2,
4,0.332,1,0
4,0.032,0,0
4,0.014,1,0
4,0.206,1,1
3,1.46,1,0
4,0.013,2,
3,0.829,1,0
4,0.538,1,1
4,0.18,0,0
2,0.09,2,
4,0.532,1,1
4,1.315,1,1
3,0.019,2,
3,0.089,2,
3,0.44,1,0
2,0.781,1,0
3,0.017,0,0
2,0.312,2,
2,0.318,0,0
2,0.062,1,0
2,0.096,0,0
2,1.426,0,0
2,0.186,0,0
1,0.338,2,
1,0.004,1,0
1,0.4,2,
1,0.115,1,1
1,0.433,1,0
1,0,0,0
1,0.014,1,0
1,0.044,1,0
1,0.191,0,0
6,0.412,0,0
6,0.016,2,
6,0.319,0,0
6,0.193,1,0
6,0.104,1,1
4,0.041,2,
5,0.741,1,0
5,0.257,2,
5,0.275,1,1
5,0.648,2,
5,0.248,1,0
5,0.066,0,0
4,0.67,2,
4,1.127,2,
3,0.081,2,
3,0.08,1,0
4,0.044,0,0
3,0.054,0,0
2,0.087,2,
2,0.411,2,
1,0.081,2,
8,0.064,0,0
6,0.072,2,
5,0.124,0,0
5,0.165,0,0
4,0.003,2,
5,,2,
4,0.005,2,
4,0.126,2,
3,0.009,0,1
4,0,0,0
4,0.393,0,1
3,0.162,2,
3,0.109,1,0
3,0.449,1,0
3,0.096,2,
2,0.203,1,0
3,0.106,0,0
3,0.227,0,0
3,0.272,1,1
3,0.283,0,0
3,0.049,1,0
2,0.395,2,
3,0.409,0,0
1,,1,0
2,0.021,1,0
1,0.367,2,
1,0.405,2,
1,0.116,2,
1,,0,0
1,0.064,2,
1,0.389,1,0
1,0.302,0,0
1,0.763,0,0
1,0.193,0,0
9,0.308,1,0
7,0.206,2,
6,0.003,2,
7,0.553,1,0
6,0.003,0,0
5,0.082,2,
6,0.046,1,1
6,0.071,2,
5,0.479,2,
7,0.008,1,0
5,0.496,2,
5,0.016,0,0
4,0.005,0,0
6,0.204,1,0
5,0.231,2,
6,0.375,1,0
4,0.552,0,0
3,0.007,0,0
5,0.006,0,0
3,0.484,0,0
3,0.032,0,0
2,0.198,2,
3,0.003,1,0
3,0.187,1,0
2,0.094,2,
2,0.965,0,1
2,0.003,1,0
1,0.068,2,
2,0.206,0,0
1,0.011,1,0
1,0,0,1
1,0.009,2,
1,0.656,1,1
1,0.328,0,0
1,0.126,0,1
1,0.187,0,0
1,0.983,0,0
6,0.131,2,
5,0.221,0,0
5,0.428,2,
5,0.418,1,0
5,0.062,0,0
9,0.385,0,0
6,0.197,2,
7,0.732,1,0
4,1.127,2,
5,0.203,0,
6,0.278,2,
3,0.747,2,
4,0.173,1,0
3,0.617,2,
6,0.129,0,0
3,0.003,2,
2,0.041,2,
5,0.049,0,0
4,0.029,1,1
2,0.003,1,0
3,0.024,1,1
3,0.087,2,
3,0.046,0,0
4,0.195,0,0
3,0.054,1,0
2,0,1,1
4,0.104,1,0
1,0.003,1,0
2,0,1,0
2,0.225,2,
2,0.198,0,1
1,0.208,1,0
1,0.164,2,
2,0.003,0,0
1,0.005,0,0
1,0.209,0,0
1,0,0,0
1,0.231,0,0
5,0.343,2,
6,0.105,2,
5,0.655,1,1
5,0.259,1,1
5,0.078,0,0
4,0.795,2,
4,0.184,1,0
4,0.133,1,0
3,0.049,2,
3,0.1,1,0
4,0.021,0,1
4,0.003,0,0
2,0.051,0,0
2,0.1,1,0
2,0.019,1,0
1,0.019,2,
2,0.083,0,0
1,0.082,0,0
2,0.569,0,0
1,0,1,0
1,0.106,2,
1,0.057,1,1
1,0,0,0
6,0.164,0,0
7,0.133,1,1
6,0.556,1,1
6,1.507,2,
4,0.252,2,
5,0.116,2,
5,0.418,2,
4,0.291,2,
5,0.003,1,0
4,0.094,2,
5,0.203,0,0
5,0.127,2,
4,0.021,1,0
3,0.193,2,
4,0.035,1,0
2,0.003,1,0
3,0.412,1,0
3,0.597,2,
3,0.015,0,0
4,0.054,0,0
4,0.041,0,0
3,0.005,2,
3,0.014,0,0
2,0.094,0,0
2,0.041,1,1
2,0.047,2,
2,0.366,1,0
2,0.262,0,0
2,0.003,0,0
1,0.064,2,
2,0.166,1,0
1,0.062,1,1
1,0.09,1,0
1,0.01,0,0
1,0.03,0,0
1,0.053,0,0
1,0.275,0,0
6,0.106,1,0
6,0.005,2,
7,0.096,0,0
6,0,1,1
7,0.412,2,
6,0.074,1,0
4,0.449,1,0
6,0.013,0,0
5,0.553,2,
6,0.023,0,0
6,0.041,0,0
6,0.059,1,0
5,0.166,0,0
6,0.165,0,0
4,0.569,2,
4,0.082,2,
5,0.134,2,
5,0.006,1,0
5,0.248,1,0
4,0.053,2,
3,0.452,1,1
3,0.299,2,
4,0.208,2,
4,0.09,0,0
4,0.062,1,1
4,0.099,2,
4,0.734,0,0
3,0.428,1,0
4,0.01,1,0
3,0.037,0,0
2,0.013,2,
3,0.256,2,
3,0.217,1,0
2,0.144,0,0
2,0.122,2,
2,0.049,2,
2,0.104,1,0
1,0.536,1,0
1,0.188,2,
2,0.182,0,0
2,0.357,1,0
1,0.1,2,
1,0.036,2,
1,0.637,1,0
1,0.051,1,0
1,0.003,1,0
1,0.02,0,0
1,0.251,0,0
1,0.361,0,0
5,0.597,0,0
4,0.013,1,0
4,0.506,2,
3,0.055,2,
3,0.171,0,0
5,0.442,0,0
3,0.024,0,0
4,0.129,2,
3,0.107,2,
2,0.563,2,
4,0.058,0,0
2,0.085,2,
2,0.138,0,0
1,0.094,2,
2,0.348,0,0
2,0.089,0,1
1,0.643,2,
1,0.269,1,0
1,0.111,0,0
1,0.223,1,0
1,0.025,0,0
5,0.101,1,0
4,0.003,2,
4,0.516,1,0
5,0.196,0,1
5,0.003,1,1
6,0.47,2,
5,0.005,1,0
3,0.115,1,0
4,0.507,2,
5,0.399,1,0
4,0.068,0,1
5,0.508,0,0
4,0.368,2,
4,0.136,0,0
5,0.321,1,0
2,0.296,2,
4,0.017,0,0
4,0.003,1,0
3,0.447,2,
2,0.536,2,
2,0.134,2,
1,0.013,2,
1,0.01,1,1
1,0,1,0
1,0.345,0,0
1,0.135,0,1
1,0.198,1,0
1,0.031,0,0
1,0.093,0,0
9,0.703,2,
7,0.127,0,1
8,0.602,2,
8,0.412,1,1
8,0.265,0,1
7,0.152,0,1
6,0.003,2,
6,0.527,1,0
5,0.531,2,
4,0.3,2,
5,0.63,1,1
4,0.532,1,0
5,0.383,1,0
4,0.583,2,
4,0.095,2,
3,0.02,1,1
5,0.422,0,0
3,0.08,1,0
4,0.074,2,
5,0.058,1,0
4,1.565,0,0
3,0.049,1,1
3,0.006,2,
4,0.047,2,
4,0.075,0,0
3,0.214,0,0
3,0.051,2,
3,0.044,2,
2,0.258,1,1
2,0.105,2,
2,0.025,2,
2,0.267,1,1
3,0.679,2,
2,0.084,2,
3,0.177,0,1
3,0.484,2,
2,0.114,2,
3,0.008,0,0
3,0.054,0,0
2,0.097,2,
2,0.082,1,1
2,0.003,1,0
2,0.095,2,
1,1.82,1,0
1,0.329,0,1
1,0.153,1,0
1,0.734,0,0
1,0.213,1,0
1,0.069,0,0
6,0.422,2,
7,0.938,1,0
5,0.018,2,
4,0.709,1,0
5,0.555,1,1
6,0.066,1,1
6,0.063,1,0
5,0.055,0,0
5,0.108,0,0
3,0.003,2,
4,,2,
5,0.083,0,0
4,0.008,2,
4,1.567,0,0
4,0.62,2,
3,0.868,1,0
4,0.007,1,0
3,0.03,2,
2,0.07,0,0
3,0.179,1,0
4,0.012,0,0
2,0.315,2,
2,0.902,0,0
3,0.005,0,0
3,0.005,0,1
3,0.304,0,0
1,0.02,1,0
2,0.705,1,0
2,0.013,1,0
1,0.32,2,
2,0.265,0,0
1,0.003,2,
1,0.082,1,0
1,0.141,0,0
9,0.254,1,1
8,0.005,2,
6,0.663,1,0
6,0.231,0,0
6,0.221,1,1
5,0.408,1,0
5,,1,0
4,,1,1
4,0.154,2,
4,0.696,2,
5,0.113,1,0
5,0.207,2,
4,0,0,1
4,0.141,2,
4,0.091,2,
4,0.622,1,1
2,0.45,2,
2,0.03,1,1
3,0.074,1,0
4,0.156,0,0
4,0.423,1,0
2,0.538,2,
2,0.003,0,0
4,0.007,0,0
3,0.836,0,0
2,0.226,0,0
2,,2,
2,0.457,1,0
2,0.257,0,0
2,0.011,1,0
2,0.048,0,1
1,0.366,1,1
3,0.018,0,0
1,0.507,2,
2,0.141,0,0
1,0.552,1,0
1,,0,0
1,0.08,0,0
5,0.016,2,
5,0.279,1,0
6,0.498,2,
7,0.106,0,0
9,0.276,2,
6,0.082,2,
5,0.049,2,
9,1.148,0,0
5,0.152,0,0
4,0.133,0,0
5,0.113,1,0
4,0.428,2,
4,0.062,2,
4,0.058,1,0
4,0.054,0,0
4,0.075,2,
4,0.562,1,0
4,0.006,0,0
4,0.244,2,
4,1.849,2,
5,0.963,2,
3,0.061,1,0
3,0.15,1,
4,0.141,2,
4,0.014,0,0
4,0.801,0,0
4,0.726,0,0
3,0.553,1,0
4,0.101,1,0
2,0.1,2,
1,0.09,2,
2,0.034,2,
2,0.044,0,1
2,0.118,2,
1,0.24,2,
2,0.025,0,1
2,0.145,1,0
2,0.206,0,0
1,0,2,
1,0.019,0,1
6,0.736,2,
5,0.005,1,0
6,0.026,0,0
6,0.558,1,0
5,0.404,1,0
5,0.283,2,
6,0.049,1,0
4,0.057,2,
4,0.077,2,
4,0.054,2,
2,0.029,2,
3,0.008,1,0
4,0.034,0,0
3,0.911,1,0
3,0.142,2,
2,0.003,2,
3,0.108,0,0
2,0.005,0,0
1,0.448,2,
2,0.14,0,0
1,0.339,2,
2,0.071,0,0
2,0.039,0,0
1,0.011,1,1
1,0.016,0,1
1,0.543,0,0
1,0.245,0,1
1,0.012,0,0
1,0.1,0,0
7,0.013,2,
6,0.532,0,0
7,0.269,0,0
7,0.044,0,0
5,0.633,1,0
5,0.099,1,1
4,0.467,0,0
4,0.186,0,0
3,0.124,0,0
2,0.116,0,0
2,0.183,0,1
1,0.04,2,
1,0.556,2,
9,0.095,1,1
6,0.185,2,
5,0.144,2,
8,0.083,2,
6,0.195,2,
6,0.01,1,1
5,0.021,0,0
5,0.177,2,
4,0.141,2,
5,0.108,2,
6,0.037,0,0
5,0.119,0,0
4,0.459,1,0
4,0.153,0,1
4,0.56,0,1
4,0.058,2,
6,0.1,2,
4,0.213,1,0
4,0.615,2,
4,0.273,2,
6,0.085,0,0
3,0.684,0,1
5,0.044,2,
5,0.219,1,1
4,0.004,2,
4,0.226,0,0
3,0.433,0,0
4,0.039,0,0
3,0.734,2,
5,0.174,2,
4,0.734,2,
3,0.617,0,0
5,1.259,0,0
3,0.253,1,1
4,0.536,0,0
4,0.507,0,0
3,0.111,0,1
3,0.396,2,
3,0.286,2,
2,0.208,0,0
1,0.031,1,0
2,0.485,1,0
2,0.219,2,
1,0.733,2,
2,0.578,0,0
1,0.467,2,
1,0.005,1,1
1,0.124,0,1
1,0.294,1,0
1,0.018,0,0
1,0.285,0,1
1,0,0,0
1,0.363,0,0
7,0.077,2,
6,0.003,1,0
6,0.098,0,0
5,0.01,2,
7,0.211,0,0
5,0.244,0,0
5,0.552,1,1
6,0.278,0,0
5,0.553,2,
6,0.306,0,0
4,0.008,1,1
4,0.044,0,
4,0.127,2,
4,0.569,2,
5,0.295,0,0
5,0.015,2,
5,0.391,0,0
6,0.011,0,0
5,0.346,0,0
4,0.381,0,0
5,0.573,0,1
3,0.409,2,
4,0.538,1,0
4,0.296,1,1
4,0,0,0
4,0.015,0,0
4,0.003,1,0
3,0.043,0,0
2,0.098,2,
2,0.134,2,
3,0.028,1,0
5,0.077,0,0
3,0.301,1,1
4,0.219,0,1
3,0.007,1,0
2,0.01,2,
3,0.043,1,0
3,0.055,1,0
3,0.459,2,
4,0.26,0,0
2,0.027,2,
3,0.328,0,0
3,0.003,2,
3,0.139,0,0
2,0.03,0,0
2,0.015,0,0
2,0.003,1,0
1,0.167,2,
1,0.843,1,1
2,0.003,0,0
2,0.693,0,0
1,0.003,1,0
1,0.105,2,
1,0.125,2,
1,0.047,0,0
6,0.147,2,
7,0,1,0
4,0.136,2,
5,0.035,0,1
6,0.097,1,0
6,0.059,0,0
4,0.418,1,0
3,0.574,1,0
6,0.106,0,0
3,0.005,2,
6,0.195,0,0
4,0.031,0,0
4,0,1,0
4,0.697,1,1
5,0.131,0,0
3,0.7,1,0
4,0.321,2,
5,0.392,0,0
3,0.252,1,0
5,0.007,0,1
3,0.047,2,
3,0.265,1,0
3,0.135,0,0
3,0.751,0,1
3,0.029,1,0
3,0.2,2,
3,0.127,1,0
2,0.687,2,
3,0.213,1,0
3,0.089,2,
3,0.02,2,
2,0.113,1,1
2,0.152,1,0
3,0.138,2,
3,0.262,1,0
3,0.006,0,0
2,0.01,2,
2,0.166,0,0
2,0.046,1,1
2,0.007,1,0
1,0.093,1,0
2,0.082,1,0
1,0.044,2,
1,0.324,1,0
1,0.242,1,0
1,0.681,1,0
1,0.093,1,1
1,0.011,0,0
1,0.007,0,1
7,0.161,2,
5,0.219,2,
7,0.815,0,0
5,0,0,0
4,0.401,1,1
5,0.005,2,
5,0.172,1,1
6,0.412,0,1
4,0.013,2,
4,0.046,2,
6,0.123,0,0
4,0.275,1,1
5,0,1,0
4,0.341,0,0
4,0.137,0,0
5,0.512,0,0
4,0.004,0,0
3,0.017,1,0
4,0.068,1,0
3,0.012,1,1
3,0.028,0,0
3,0.211,0,0
2,0.544,1,0
2,0.055,2,
1,0.133,2,
1,0.007,2,
1,0.011,2,
1,0.696,1,0
1,0.003,1,0
1,0,0,0
1,0.113,0,0
5,0.226,2,
6,0.129,0,0
6,0.467,0,1
6,0.144,0,0
4,0.077,2,
5,0.149,2,
5,0.211,0,0
4,0.628,2,
4,0.044,1,0
5,0.008,1,0
5,0.219,1,0
4,0.169,1,0
3,0.139,2,
4,0.02,0,0
4,0.24,1,0
3,0.034,0,0
3,0.024,2,
4,0.021,2,
4,0.226,0,1
3,0.045,0,0
4,0.077,2,
2,0.217,2,
3,0.104,2,
3,0.028,0,0
3,0.231,0,0
1,0.108,1,1
2,0.147,2,
3,0.237,0,0
2,0.008,0,0
2,0.023,0,0
2,0.298,1,0
1,0.131,2,
1,0.003,0,0
1,0.175,2,
1,0.402,1,1
1,0.034,0,0
1,0.344,1,0
1,0.08,1,0
1,0.095,0,0
5,0.911,2,
6,0.401,0,1
5,0.597,0,1
7,0.087,1,1
6,0.11,0,0
6,0.049,0,1
5,0.062,2,
4,0.091,1,0
5,0.25,0,1
4,0.411,0,0
5,0.021,2,
5,0.016,1,1
5,0.015,0,1
5,0.015,1,1
4,0.211,1,0
4,0.147,2,
5,0.464,0,0
4,0.003,2,
3,0.801,2,
3,0,1,1
2,0.063,2,
4,0.009,1,0
3,0.008,1,0
2,0.094,2,
3,0.213,0,0
2,0.015,2,
3,0.737,0,0
3,0.152,2,
3,0.312,1,0
2,0.306,2,
2,0.143,2,
2,0.005,2,
2,0,1,0
1,0.516,2,
1,0,2,
1,0.043,1,0
1,0.093,1,0
1,0.172,0,0
1,0.409,0,0
4,0.024,2,
6,0.055,0,0
3,0.553,2,
4,0.098,0,1
4,0.126,2,
4,0.256,1,1
4,0.044,0,0
3,0.427,1,0
2,0.31,2,
2,0.064,2,
3,0.064,0,0
3,0.01,1,0
2,0.015,1,0
2,0.167,1,0
1,0.1,2,
1,0.093,1,0
1,0.288,1,0
1,0.109,1,0
1,0.201,0,0
1,0.142,0,0
1,0.226,0,0
7,0.143,1,0
6,0.01,0,0
6,0.125,0,0
6,0.008,0,0
5,0.108,0,0
4,0.003,2,
5,0.147,0,1
5,0.175,0,1
5,0.155,1,1
4,0.112,0,0
5,1.074,0,0
4,0.212,2,
4,0.09,1,0
6,0.484,1,0
4,0.077,2,
3,0.008,2,
3,0.019,2,
4,0.37,1,0
3,0.136,1,0
3,0.759,1,0
4,0.056,2,
3,0,0,0
4,0.701,0,0
3,0.123,1,0
2,0.058,1,0
2,0.1,2,
2,1.932,1,0
3,0.123,0,0
3,0.011,0,0
2,0.003,2,
3,0.388,0,0
3,0.004,1,
2,0.229,2,
1,0.673,2,
2,0.208,2,
2,0.211,1,0
1,0.11,0,0
1,0.152,2,
1,0.051,2,
1,0.064,1,0
1,0.109,0,0
1,0.302,0,0
7,0,0,
6,0.155,1,0
7,0.207,2,
6,0.036,1,0
6,0.147,2,
6,0.099,1,0
5,0.094,1,0
7,0.015,0,1
7,0.02,0,0
6,0.126,1,0
6,0.015,1,0
5,0.021,2,
6,0.02,0,0
5,0.137,1,0
5,0.041,2,
5,0.485,0,0
5,0.005,2,
5,0.091,1,1
4,0.104,1,1
4,0.579,0,0
4,0.137,0,0
5,0.006,1,0
5,0.14,0,0
4,0.265,2,
4,0.095,1,
5,0.493,0,0
4,0.01,1,0
3,0.138,2,
4,0.01,0,0
4,0.051,1,0
3,0.005,1,0
3,0.53,1,0
3,0.044,1,1
2,0.555,2,
3,0.027,1,0
3,0.106,2,
4,0.408,1,0
3,0.106,0,0
3,0.822,2,
3,0.032,0,0
3,0.133,1,1
2,0.054,2,
2,0.224,2,
2,0.064,2,
2,0.062,1,0
1,0.024,1,0
3,0.042,0,1
2,0.044,1,0
1,0.007,2,
1,0.007,2,
2,0.07,0,0
1,0.748,0,0
1,0.19,1,0
1,0.266,1,1
1,0.519,0,0
1,0.023,0,0
1,0.165,0,0
1,0.208,0,0
1,0.202,0,0
6,0.748,0,1
7,0.172,2,
6,0.105,2,
7,0.09,0,0
6,0.094,0,0
5,0.543,1,0
5,0.107,1,0
6,0.623,0,0
6,0.138,2,
4,0,2,
5,0.339,0,0
3,0.007,1,0
5,0.029,0,0
4,0.82,1,1
4,0.09,0,0
5,0.071,0,0
4,0.226,1,0
4,0.003,0,0
4,0.545,0,0
2,0.009,2,
4,0.709,1,1
3,0.662,2,
3,0.864,1,1
3,0.574,2,
3,0.691,1,0
3,0.217,2,
3,0.003,0,0
2,0.09,2,
2,0.435,0,0
2,0.114,1,0
1,0.422,2,
2,0.318,2,
2,0.01,2,
2,0.018,0,0
2,0.846,0,0
2,0.709,0,0
1,0.09,2,
5,0.201,1,0
5,0.498,2,
5,0.25,2,
5,0.01,1,0
5,0.007,0,0
5,0.165,0,1
5,0.067,0,
4,0.234,2,
6,0.003,0,1
6,0.054,0,0
3,1.428,2,
4,0.254,1,1
5,0.078,0,0
3,0.242,1,0
3,0.25,0,1
3,0.476,2,
3,0.283,1,0
3,0.057,1,0
3,0.99,0,0
4,0.089,1,1
4,0.302,0,1
3,0.107,1,0
4,0.224,1,0
3,0.2,0,0
2,0.154,2,
3,0.029,0,0
2,0.343,2,
3,0.167,1,0
2,0.256,1,0
2,0.01,0,0
2,0.347,1,0
2,0.134,1,0
1,0.02,2,
1,0.218,0,1
1,0.191,2,
1,0.979,1,0
1,0.062,0,0
1,0.637,0,0
1,0.005,0,0
1,0.254,0,0
7,0.464,1,0
5,0.083,2,
6,0.121,2,
6,0.025,1,0
6,0.158,2,
6,0.127,2,
4,0.324,0,0
4,0.034,2,
5,0.125,2,
4,0.092,2,
5,0.091,2,
5,0.003,1,0
4,0.154,1,0
4,0,0,0
2,0.748,2,
3,0.409,2,
4,0.147,0,0
4,0.496,1,0
4,0.051,0,1
2,0.157,2,
3,0.27,2,
3,0.532,2,
4,0.197,0,0
3,0.213,0,0
2,0.011,1,0
2,0.021,2,
2,0.059,1,0
2,0.075,1,0
2,0.165,2,
2,0.012,0,0
1,0.003,2,
1,0.006,2,
1,0.114,0,0
1,0.047,1,0
1,0.679,1,0
1,0.182,0,0
6,0.044,0,0
7,0.054,2,
4,0.055,1,0
6,0.198,0,0
7,0.056,0,0
6,0.801,2,
5,0.556,2,
6,0.977,0,0
6,0.008,2,
5,0.447,1,1
4,0.098,1,0
5,0.195,2,
5,0.065,0,0
4,0.49,2,
5,0.445,1,0
4,0.117,1,1
5,0.357,2,
4,0.157,0,0
4,0.061,2,
4,0.24,2,
4,0.385,0,0
5,0.152,0,0
3,0.306,2,
3,0.216,0,0
3,0.179,2,
3,0.059,2,
2,0.015,0,0
2,0.013,0,0
2,0.194,0,0
2,0.226,0,1
2,0.269,0,0
4,0.05,1,0
5,0.009,2,
4,0.111,2,
5,0.008,1,0
4,0.249,2,
4,0.191,2,
4,0.45,2,
3,0.09,2,
3,0.021,2,
2,0.109,2,
2,0.152,0,0
3,0.091,0,0
3,0.127,0,0
3,0.108,0,0
2,0,2,
3,0.23,0,0
2,0.077,2,
2,0.006,0,0
1,0.37,2,
1,0.302,1,0
2,0.033,0,0
