inning,estimated_woba_using_speedangle,outs_when_up,Swing
1,0.012,0,0
9,0.374,1,0
6,0.041,2,
8,0.574,1,0
6,0.01,1,0
6,0.681,0,0
5,0.257,1,1
6,0,2,
7,0.105,1,0
5,0.193,2,
7,0.224,0,0
6,0.015,2,
4,0.003,2,
6,0.422,2,
6,0.019,1,0
5,0.064,1,0
6,0.069,0,
4,0.154,1,0
5,0.152,2,
5,0.139,1,1
5,0.574,2,
4,0.319,2,
3,0.057,2,
4,0.008,1,1
4,0.034,1,0
4,0.357,1,0
4,0.02,1,0
4,0.971,0,1
3,0.118,2,
5,0.165,0,0
4,0.2,1,1
3,0.105,2,
4,0.812,1,0
5,0.037,2,
4,0.131,1,0
5,0.329,0,0
3,0.491,1,0
3,0.338,2,
3,0.345,2,
3,0.84,1,1
3,0.044,1,0
2,0.612,2,
4,0.003,0,1
3,0.003,0,0
3,0.544,2,
2,0.092,0,0
3,0.01,1,0
2,0,2,
2,0.005,0,1
2,0,0,0
2,0.235,1,0
2,0.386,1,0
2,0.216,0,1
2,0.021,1,0
1,0.295,1,0
2,0.003,0,0
1,0.807,2,
1,0.024,0,1
1,0.134,0,1
1,0.023,0,0
1,0.053,1,0
1,0.006,0,0
5,0.05,1,1
8,0.003,1,0
7,0.003,1,0
6,0.842,2,
5,0,2,
5,0.514,1,0
6,0.034,0,0
6,0.464,1,0
4,0.425,2,
4,0.159,2,
5,0.216,2,
5,0.003,2,
4,0.005,0,0
3,0.029,1,1
3,0.108,1,0
5,0.233,2,
4,1.127,0,0
3,0.077,2,
3,0.202,2,
3,0.397,2,
3,0.411,1,0
3,0.399,1,0
3,0.087,0,0
4,0.013,1,1
2,0.571,2,
3,0.226,2,
2,0.209,2,
3,0.072,2,
2,0.169,2,
3,0.597,0,0
3,0.041,1,0
2,0.129,2,
2,0.24,1,1
1,0.302,1,0
1,0.284,2,
2,0.427,0,0
2,0.064,0,0
1,0.003,2,
1,0.059,2,
1,0.062,0,0
1,0.025,2,
1,0.031,2,
1,0.008,0,1
1,0.093,0,0
1,0.571,0,0
6,0.075,0,
6,0.059,0,0
4,0.029,2,
6,0.425,2,
4,0.265,0,0
5,0.041,1,0
6,0.599,1,0
5,0.051,0,0
6,0.149,0,1
4,0.519,2,
5,0.03,2,
4,0.886,0,0
5,0.071,0,0
4,0.33,2,
5,0.118,0,0
5,0.021,0,0
4,0.113,1,0
4,0.205,2,
4,0.801,0,0
5,0.14,0,0
4,0.76,0,0
3,0.115,2,
4,0.028,1,0
3,0.025,2,
3,0.814,2,
3,0.04,2,
3,0.412,0,0
2,0.021,2,
2,0.012,2,
4,0.086,0,0
2,0.975,1,0
3,0.025,1,0
2,0.108,2,
3,0.093,0,0
2,0.137,1,0
1,0.005,2,
2,0.597,1,0
1,0.137,2,
1,0.888,1,0
1,0.109,0,0
1,0.361,0,0
1,0.085,0,0
7,0.368,2,
8,0.148,0,0
6,0.02,1,1
6,0.013,2,
5,0.016,2,
4,0.097,2,
5,0.732,2,
4,0.515,2,
5,0.576,0,0
4,0.094,2,
5,0.553,0,0
4,0.423,2,
4,0.008,2,
4,0.643,0,0
3,0.237,2,
4,0.25,0,0
4,0.045,2,
4,0.008,0,0
3,0.003,0,0
3,0,2,
3,0.021,2,
3,0.129,1,0
3,0.213,0,0
2,0.242,2,
3,0.113,1,0
3,0.324,2,
2,0,1,0
2,0.204,1,0
1,0.093,2,
1,0.006,2,
1,0.367,1,0
1,0.227,0,0
8,0.468,2,
7,0.158,1,1
5,0.175,2,
5,0.095,0,0
7,0.183,1,1
6,0.092,1,0
5,0.044,2,
4,0.286,2,
6,0.153,2,
4,0.569,2,
6,0.053,1,0
4,0.087,0,0
5,0.051,1,1
6,0.006,0,0
6,0.558,1,0
5,0.121,1,0
5,0.055,0,0
3,0.003,0,0
4,0.412,2,
4,0.003,2,
3,0.55,2,
4,0.017,1,1
2,0,2,
4,0.054,2,
3,0.551,2,
1,0.013,2,
3,0,1,1
2,0.306,2,
2,0.773,1,0
2,0.023,1,0
3,0,0,0
1,0.044,2,
2,0.219,2,
2,0.1,1,0
1,0.079,2,
2,0.225,0,0
2,0.058,0,0
2,1.385,1,0
2,0.267,0,0
2,0.81,0,0
1,0.557,1,0
1,0.098,0,0
1,0.123,0,0
1,0.511,0,0
6,0.036,1,0
4,0.506,2,
6,0.979,0,0
6,0.484,0,0
5,0.029,0,0
6,0.262,0,1
4,0.251,2,
5,0.172,2,
5,0.222,0,0
4,0.018,1,0
3,0.229,2,
5,0.003,0,0
4,0.389,0,0
5,0.365,0,1
5,0.357,0,0
4,0,0,0
4,0.086,0,0
4,0.614,1,1
3,0.069,0,0
3,0.175,2,
3,0.218,1,0
4,0.005,0,0
3,0.241,1,0
2,0.108,2,
3,0.051,1,0
2,0.049,1,0
2,0.003,2,
2,0.067,0,0
3,0.429,0,0
3,0.208,0,0
2,0.218,2,
2,0.301,2,
1,0.011,2,
2,0.125,0,0
2,0.324,0,0
1,0.204,2,
1,0.326,1,1
1,0.077,0,0
6,0.103,1,0
5,0.127,2,
6,0.643,0,0
5,0.18,1,1
7,0.132,1,0
7,0.018,1,0
7,0.168,0,1
5,0.021,0,0
5,0.005,1,0
5,0.008,0,1
4,0.066,2,
3,0.032,2,
4,0.217,1,0
5,0.152,0,0
3,0,1,0
3,0.005,0,1
3,0.144,2,
4,0.157,0,0
3,0.542,1,1
4,1.046,0,0
4,0.332,0,0
3,0.422,1,0
3,0.024,0,0
2,0.054,2,
1,0.465,1,0
3,0.126,0,0
2,0.005,0,0
1,0.058,1,0
1,0.135,0,0
1,0.023,0,0
7,0.047,0,0
6,0.367,2,
7,0.013,1,0
7,0.468,2,
4,0.105,1,0
7,0.059,0,0
4,0.41,2,
5,0.169,2,
6,0.02,1,0
6,0.159,0,0
6,0,0,1
6,0.248,1,0
4,0.157,1,1
5,0.682,2,
5,0.412,1,0
4,0.175,2,
4,0.029,1,0
5,0.007,1,0
4,0.172,1,0
4,0.049,2,
4,0.182,2,
4,0.078,1,0
4,0.136,1,1
4,0.058,2,
6,0.057,1,1
5,0.006,0,0
4,0.005,1,0
4,0,1,1
4,0.074,0,0
3,0.767,2,
3,0.308,1,0
3,0.01,1,0
3,1.423,1,0
2,0.051,2,
3,0.237,2,
4,0.09,2,
2,0.101,2,
3,0.059,0,0
3,0.332,0,0
2,0.194,2,
1,0.091,2,
2,0.151,2,
1,0.326,2,
2,0.496,1,0
1,0.195,2,
1,0.003,2,
2,0.51,1,0
1,0.626,1,1
1,0.205,0,0
1,0.1,2,
1,0.328,1,0
1,0.555,1,0
1,0.39,2,
1,0.292,1,1
1,0.018,0,0
1,0.06,0,0
1,0.483,0,0
7,0.003,2,
5,0.057,2,
5,0.35,2,
6,0.248,1,0
6,0.059,0,0
5,0.122,2,
5,0.41,0,0
5,0.252,1,0
3,0.178,2,
4,0.108,2,
4,0.114,1,0
3,0.021,2,
3,0.147,1,0
3,0.113,2,
3,0.395,1,0
5,0.374,0,0
4,0.396,1,0
4,0.075,0,1
3,0.597,2,
4,0.101,1,0
3,0,0,1
2,0.223,2,
3,0.977,2,
3,0.003,2,
3,0.368,1,1
2,0.442,2,
3,0.484,0,0
2,0.097,2,
2,0.005,1,0
3,0.046,0,0
2,0.289,2,
3,0.327,0,0
2,0.226,2,
2,0.011,0,0
1,0.013,2,
1,0.82,1,0
1,0.544,0,0
1,0.663,0,0
6,0.131,0,0
6,0.173,0,0
4,0.009,2,
7,0.234,2,
5,0,1,0
3,0.172,2,
4,0.505,0,1
6,0.545,0,1
6,0.061,2,
4,0.669,1,1
4,0.292,2,
3,0.484,1,0
4,0.484,1,0
4,1.639,2,
4,0.024,2,
3,0,2,
3,0.519,2,
3,0.149,2,
3,0.201,0,0
4,0.121,1,1
4,0.883,0,0
3,0.553,0,0
3,0.008,1,0
2,0.022,2,
2,0.183,1,0
2,0.064,0,0
1,0.781,1,0
2,0.054,2,
1,0.09,2,
2,0.026,0,0
1,0.005,2,
2,0.686,0,0
1,0.166,1,0
2,0.41,0,0
1,0.08,2,
1,0.077,1,0
1,0.006,1,0
1,0.039,0,0
1,0.003,0,0
6,0.243,1,0
6,0.237,0,1
5,0.276,2,
4,0.078,2,
4,0.093,1,1
3,0.454,2,
3,0.072,2,
4,0.324,1,0
3,0.078,2,
3,0.003,1,0
3,0.122,2,
4,0.154,0,0
2,0.059,2,
3,0.294,0,0
3,0.304,0,0
1,0.409,1,1
3,0.003,0,0
2,0.044,2,
2,0.005,2,
2,0.571,2,
2,0.11,1,0
1,0.008,2,
2,0.292,0,0
2,0.401,0,0
1,0.306,1,0
1,0.203,0,1
7,0.182,1,1
6,0.047,2,
5,0,1,0
6,0.01,0,0
6,0.237,0,0
5,0.015,1,0
3,0.003,1,0
5,0.136,2,
5,0.597,0,0
3,0.637,2,
4,0.044,0,0
4,0,1,0
4,0,2,
4,0.225,2,
5,0.32,0,0
4,0.152,0,1
1,0.012,2,
3,1.286,1,0
2,0.072,2,
2,0.083,0,0
3,0.008,0,1
2,1.171,2,
2,0.389,2,
2,0.042,0,0
2,0.211,0,0
1,0.021,1,0
1,0.689,2,
1,0.003,1,0
1,0.02,0,0
1,0.054,0,0
6,0.495,1,0
6,0.046,2,
6,0.391,0,0
5,0.091,1,0
4,0.423,0,0
4,0.397,0,0
4,0.115,0,0
4,0.172,0,0
4,0.205,2,
4,0.714,2,
4,0.103,2,
4,0.035,2,
3,0.441,2,
4,0.003,1,1
4,0.024,0,0
3,0.203,1,0
3,0.008,1,0
3,0.251,2,
3,0.003,1,1
2,0.043,0,0
4,0.079,0,0
3,0.258,0,0
2,0.049,2,
1,0.187,2,
2,0.676,2,
2,0.015,0,0
2,0.007,2,
2,0.457,0,0
2,0.518,1,1
2,0.003,0,0
2,0.887,0,0
1,0.102,1,0
1,0.087,2,
1,0.242,2,
1,0.011,0,0
7,0,0,0
6,0.265,1,0
7,0.314,0,0
5,0.843,2,
5,0.023,2,
6,0.1,0,0
5,0.178,1,0
5,0.011,0,1
5,0.018,0,0
5,0.068,0,0
4,0.063,0,0
4,0.836,2,
3,0.005,1,0
4,0.005,0,0
3,0.214,2,
3,0.162,1,0
2,0.301,1,0
3,0.083,2,
3,0.867,2,
4,0.449,0,0
3,0.47,2,
3,0.971,1,1
2,0.254,2,
2,0.003,1,0
1,0.003,2,
1,0.013,2,
1,0,1,0
5,0.35,2,
5,0.017,2,
7,0.005,0,1
5,0.071,0,0
4,0.115,2,
5,0.078,1,0
5,0.73,0,0
6,0.003,1,0
5,0.164,1,0
3,0.055,2,
5,0.373,2,
6,0.229,0,0
5,0,1,0
5,0.117,2,
7,0.064,0,0
5,0.363,2,
5,0.093,1,1
5,0.146,1,0
5,0.175,0,0
4,0.517,0,1
3,0.348,2,
3,0.702,0,0
4,0.182,2,
4,0.312,1,1
3,0.014,1,0
4,0.507,1,0
3,0.108,2,
3,0.572,2,
3,0.087,2,
3,0.067,2,
3,0.389,0,0
2,0.066,2,
3,0.049,1,0
3,0.082,2,
3,0.085,1,0
3,0.26,0,0
4,0.253,0,0
3,0.005,2,
2,0.122,2,
2,0,1,0
2,0.097,2,
2,0.219,0,0
2,0.064,1,0
1,0.062,2,
2,0.054,0,0
2,0.364,0,0
1,0.041,2,
2,0.048,0,0
1,0.633,1,1
1,0.152,1,0
1,0.306,1,0
1,0.201,1,0
1,0.169,0,0
1,0.244,0,0
1,0.242,0,0
1,0.365,0,0
1,0.133,0,0
6,0.047,2,
5,0.26,2,
6,0.237,1,0
5,0.201,1,0
5,0.255,0,0
6,0.16,0,0
4,0.091,1,0
4,0.225,2,
5,0.044,0,1
5,0.177,1,0
3,0.233,2,
4,0.194,1,0
3,0.211,2,
3,0,1,1
3,0.548,1,0
4,0.231,0,0
3,0.949,2,
2,0.033,2,
2,0.249,0,0
2,0.314,0,0
1,0.275,2,
1,0.242,2,
2,0.449,0,0
1,0.056,0,0
5,0.536,2,
6,0.781,0,0
6,0.201,1,0
7,0.172,0,1
5,0.015,0,0
6,0.254,1,0
5,0.071,0,0
6,0.077,1,0
5,0.049,2,
5,0.095,0,0
4,0,2,
5,0,0,0
3,1.286,0,0
4,0.064,2,
3,0.01,2,
1,0.064,2,
3,0,0,0
2,0.075,2,
2,0.9,2,
2,0.175,1,0
2,0.868,1,0
2,0.082,0,0
1,0.221,2,
1,0.229,2,
1,0.965,1,0
1,0.689,1,0
1,0.02,0,0
1,0.275,0,0
6,0.057,2,
7,0.068,0,
8,0.366,0,1
6,0.397,2,
7,0.638,2,
7,0.014,2,
7,0.525,1,1
7,0.75,1,1
5,0.067,2,
5,0.211,2,
7,0.41,1,0
6,0.141,1,0
5,0.017,2,
5,0.205,2,
5,0.031,2,
5,0.039,2,
4,0.063,2,
4,0.129,2,
4,0.003,1,1
4,0.064,2,
4,0.136,0,0
3,0.003,2,
4,0.074,1,1
3,0.08,2,
3,0.505,0,0
2,0.152,2,
3,0.003,0,0
2,0.094,2,
3,0.265,0,0
2,0.113,1,0
2,0.806,2,
2,0.003,1,1
2,0.103,0,0
2,0.306,1,0
2,0,0,0
2,0.087,0,0
1,0.597,1,0
1,0.015,2,
1,0.045,2,
1,0.003,1,0
1,0.397,2,
1,0.868,1,0
1,0.05,1,0
1,0.057,0,1
1,0.452,0,0
1,0.058,0,0
6,0.068,0,0
5,0.034,2,
5,0.049,0,0
4,0.034,2,
4,0.168,2,
6,0.328,0,0
6,0.003,1,
4,0.395,2,
4,0.12,1,1
7,0.249,0,0
4,0.064,0,1
4,0.191,2,
4,0.297,2,
4,0.169,2,
5,0.259,2,
5,0.123,1,0
5,0.172,0,0
4,0.885,0,1
4,0.141,0,0
3,0,2,
4,0.113,2,
5,0.016,0,0
4,0.321,0,0
3,0.428,2,
4,0.003,1,0
2,0.049,1,0
3,0.679,2,
2,0.018,0,0
2,0.379,2,
4,0.058,0,1
4,0.003,0,0
3,0.389,2,
3,0.01,0,0
3,0.003,1,0
2,0.049,2,
3,0.447,0,0
2,0.029,1,0
2,0.113,2,
1,0.137,2,
2,0.093,0,0
2,0.688,1,0
2,0.535,2,
1,0,1,1
1,0.504,2,
1,0.157,0,0
6,0.057,1,0
6,0.574,1,0
4,0.421,2,
4,0.105,2,
6,0.011,1,0
6,0.752,0,0
5,0.434,2,
5,0.022,0,0
4,0.295,2,
4,0.003,0,0
4,0.204,0,0
3,0.004,0,0
2,0.129,2,
3,0.402,2,
3,0.104,1,0
2,0.109,2,
2,0.159,2,
4,0.009,0,0
2,0.015,2,
2,0.085,1,0
2,0.087,1,0
1,0.126,2,
2,0.09,1,0
1,0.021,2,
2,0.273,0,0
2,0.111,0,0
2,0.015,0,1
1,0,2,
1,0.013,0,0
1,0.727,1,0
1,0.162,1,0
1,0.22,0,0
1,0.003,0,0
7,0.073,1,1
7,0.098,2,
4,0.519,2,
4,0.958,1,1
6,0.062,1,1
7,0.005,0,0
4,0.208,2,
6,0.347,2,
4,0.227,2,
4,0.687,1,0
5,0.183,2,
4,0.007,2,
4,0.039,1,0
5,0.286,0,0
5,0.649,0,0
5,0.008,2,
3,0.833,1,1
4,0.044,0,0
3,0.333,2,
3,0.172,1,1
3,0.009,0,0
3,0.07,1,0
3,0.211,1,0
2,0.139,1,1
3,0.058,2,
2,0.015,0,0
1,0.005,1,0
2,0.014,0,0
2,0.044,0,0
1,0.005,2,
1,0.003,2,
1,0.126,2,
1,0.732,0,0
4,0.137,1,0
4,0.072,0,0
4,0.081,2,
4,0.459,0,1
3,0.006,1,0
3,0.072,0,0
4,0.1,0,0
3,0.045,2,
3,0.2,2,
3,0.072,0,0
3,0.031,1,0
3,0.108,2,
2,0.291,2,
3,0.298,2,
3,0.333,1,0
3,0.579,1,0
2,0.005,0,0
4,0.127,0,0
2,0.364,0,0
2,0.117,2,
2,0.686,0,0
2,0.087,0,0
1,0.561,0,1
2,0.316,0,0
2,0.013,0,0
1,0,2,
1,0.016,2,
1,0,1,1
1,0.095,0,0
7,0.363,2,
5,0.113,0,0
5,0.003,0,0
6,0.211,2,
6,0.485,1,0
4,0.728,1,0
4,0.005,2,
5,0.139,0,1
4,0.006,2,
6,0.136,1,1
4,0.007,2,
6,0.058,0,0
4,0.008,2,
4,0.111,2,
4,0.144,0,0
3,0.003,2,
4,0.036,0,0
3,0.072,0,1
4,0.009,1,0
4,0.142,0,0
5,0.121,0,0
2,0.563,1,0
3,0.165,1,0
3,0.569,0,0
3,0.16,1,1
2,0.095,2,
2,0.208,2,
2,0.083,2,
2,0.057,1,0
1,0.248,2,
3,0.763,0,0
2,0.024,2,
1,0.008,2,
2,0.367,0,0
2,0.147,0,0
1,0.157,2,
1,0,0,0
1,0.016,1,0
5,0.641,2,
6,0.041,1,0
6,0,0,0
5,0.085,2,
5,0.08,1,1
4,0.214,2,
4,0.597,2,
4,0.227,2,
5,0.111,1,0
4,0.138,0,0
3,0.008,1,0
3,0.279,2,
3,0.073,1,0
3,0.009,1,0
3,0.123,0,0
2,0.003,2,
2,0.165,0,0
1,0.085,1,0
1,0.213,1,0
1,0.137,1,1
1,0.003,2,
1,0.069,2,
1,,2,
1,0.045,2,
2,0.005,0,0
2,0.064,0,0
1,0.042,0,0
1,0.943,2,
1,0.003,1,0
1,0.098,0,1
1,0.012,0,0
7,0.732,2,
7,0.395,2,
6,0.402,1,0
7,0.104,0,0
6,0.262,0,0
4,0.464,2,
6,0.224,2,
6,0.249,1,0
7,0.031,1,0
5,0.006,1,0
7,0.135,0,1
5,0.011,1,1
5,0.012,0,1
5,0.003,0,0
5,0.075,0,0
4,0.846,1,0
4,0.087,1,0
3,0.047,0,1
4,0.02,1,0
3,0.306,1,0
3,0.067,1,
2,0.059,2,
4,0.642,0,0
3,0.411,2,
4,0.01,0,0
2,0.32,0,1
2,0.1,2,
2,0.105,0,0
1,0.283,2,
1,0.679,1,0
1,0.949,2,
1,0.024,1,0
1,0.057,0,0
1,0.506,0,0
5,0.01,2,
6,0.459,2,
6,0.193,1,1
5,0.118,2,
4,0.207,1,0
6,0.25,1,0
5,0.22,1,0
4,0.315,2,
5,0.135,1,1
4,1.802,2,
3,0.018,2,
5,0.04,1,0
5,0.084,2,
4,0.62,0,0
4,0.485,1,0
4,0,0,0
4,0.105,2,
3,0.113,2,
3,0.075,2,
4,0.387,1,0
3,0.412,0,0
3,0,1,0
3,0.696,2,
3,0.182,2,
3,0.163,1,0
2,0.709,1,0
2,0,2,
2,0.006,1,0
2,0.108,2,
2,0.058,0,0
2,0.057,0,0
1,0.473,0,0
1,0.005,0,0
1,0.254,0,0
6,0.098,0,0
6,0.013,1,0
5,0.011,1,0
5,0.273,1,0
5,0.04,2,
4,0.005,0,1
5,0.183,0,0
4,0.479,1,1
3,0.248,2,
4,0.456,2,
5,0.008,1,0
4,0.024,0,0
4,0.019,1,0
4,0.052,2,
3,0.204,2,
3,0.389,0,0
3,0.094,1,1
3,0,1,0
2,0.077,1,0
4,0.214,0,0
1,0.086,2,
3,0.123,1,0
3,0.018,0,0
3,0.09,1,0
2,0.74,1,0
2,0.008,0,0
1,0.706,1,0
1,0.01,2,
1,0.017,0,1
1,0.154,0,0
1,0.086,0,0
6,0.009,2,
6,0.25,1,1
6,0.227,2,
6,0.114,1,0
5,0.259,2,
5,0.265,2,
5,0.329,0,1
4,0.238,0,0
4,0.182,0,0
4,0.141,2,
4,0.55,1,0
4,0.015,2,
5,0.496,1,1
4,0.051,1,0
3,0.763,2,
4,0,2,
4,0.098,2,
4,0.327,0,0
3,0.805,2,
3,0.809,1,1
4,0.101,1,0
2,0.008,0,0
1,0.988,1,0
2,0,0,0
1,0.031,2,
1,0.011,1,1
1,0.024,2,
1,0.039,1,1
6,0.066,2,
6,0.205,0,0
6,0,1,0
6,0.872,0,1
7,0.561,1,0
5,0.059,2,
4,0.121,2,
4,0.01,1,1
6,0.015,1,0
5,0.003,0,0
4,0.24,2,
4,0.204,2,
6,0.054,0,0
6,0.091,0,0
4,0.219,2,
5,0.423,2,
5,0.597,1,0
6,0.007,0,0
3,0,2,
5,0.009,0,0
3,0.172,2,
4,0.483,2,
4,0.63,0,1
4,0.538,0,0
4,0,0,0
4,0.003,0,0
3,0.193,0,0
3,0.051,0,0
2,0.031,1,1
3,0.012,0,0
3,0.003,0,0
2,0.755,2,
2,0.649,0,0
2,0.53,0,0
2,0.545,0,0
2,0.113,0,0
2,0.801,0,0
1,0.177,2,
1,0.034,1,0
1,0.003,2,
1,0.401,1,0
1,0.003,0,1
6,0.058,0,1
7,0.165,1,0
7,0.121,0,0
6,0.323,2,
6,0.003,1,1
6,0.367,1,0
5,0.17,0,
8,0.402,0,0
5,0.07,2,
7,0.054,1,0
5,0.126,2,
5,0.141,0,0
6,0.029,1,0
5,0.015,1,0
5,0.032,1,0
5,0.823,0,0
3,0.721,1,0
6,0.036,0,0
5,0,0,0
3,0.005,1,0
5,0.032,0,0
4,0.374,1,0
4,0.094,0,0
3,0.018,2,
3,0.003,2,
3,0.367,2,
3,0.134,2,
4,0.072,0,0
2,0.267,0,0
3,0.157,0,0
3,0.108,1,0
2,0.239,0,0
2,0.195,1,0
1,0.08,2,
2,0.087,0,0
1,0.026,1,0
1,0.646,2,
2,0.199,0,0
1,1.369,1,0
1,0.003,1,0
1,0,0,0
1,0.224,1,0
1,0.054,1,0
7,0.792,2,
4,0,1,1
5,0.069,2,
6,0.442,2,
4,0.28,0,0
6,0.082,0,0
5,0.012,0,0
5,0,2,
5,0.033,2,
4,0.649,0,0
5,0.127,1,0
5,0.78,1,0
4,0.344,0,0
3,0.559,0,0
3,0.064,0,0
2,0.004,0,0
2,0.975,2,
1,0.287,2,
2,0.159,0,0
1,0.494,0,0
1,0.113,0,0
6,0.034,2,
7,0.136,0,0
6,0.003,1,0
6,1.557,0,0
4,0.029,0,0
6,0.064,0,0
5,0.009,1,1
5,0.1,2,
6,0.064,1,0
5,0.003,0,0
5,0.18,0,0
5,0.076,1,1
4,0.801,2,
5,0.544,0,0
4,0.26,1,0
5,0.053,2,
5,0.171,0,0
3,0.089,2,
4,0.58,0,0
3,0.136,2,
3,0.016,0,0
3,0.003,0,0
3,0.046,0,0
2,0.031,1,1
3,0.164,0,0
2,0.23,2,
2,0.055,2,
2,0,2,
2,0.087,2,
3,0.066,0,0
2,0.029,0,0
2,0.291,1,0
1,0.051,1,0
2,0.01,1,0
1,0,1,0
1,0.31,2,
1,1.421,0,0
1,0.091,0,0
1,0.003,0,0
1,0.004,0,0
6,0.008,1,0
6,0.018,2,
6,0.003,2,
5,0.129,2,
6,0.623,0,1
5,0.141,1,1
5,0.003,1,1
5,0.308,1,1
5,0.1,0,0
4,0.396,2,
4,0.129,2,
4,0.039,2,
3,0,2,
4,0.015,1,0
4,0.057,1,0
3,0.191,2,
3,0.356,0,0
4,0.559,1,1
5,0.049,0,1
2,0.121,2,
2,0.06,1,0
3,0.003,1,0
3,0.015,2,
2,0.054,2,
1,0.557,2,
2,0.01,0,0
1,0.355,2,
1,0.015,2,
2,0.08,0,0
1,0.032,1,1
2,0.796,1,0
1,0.639,2,
1,0.232,1,0
1,0.003,1,0
1,0.013,0,0
7,0.553,2,
5,0.221,2,
7,0.45,1,0
5,0.144,2,
5,0.036,0,0
4,0.384,1,1
6,0.082,0,1
3,0.469,2,
3,0.003,0,1
4,0.328,1,0
4,0.514,1,1
4,0.233,0,1
2,0.121,2,
3,0.806,2,
4,0.005,2,
2,0.54,2,
3,0.299,2,
3,0.21,1,0
3,1.227,1,0
3,0.204,0,0
2,0.222,1,1
2,0.248,0,1
2,0.689,0,0
2,0.058,2,
2,0.063,2,
3,0.136,0,0
2,0.167,2,
1,0.003,1,0
1,0.021,1,0
1,0.007,1,0
2,0.005,0,0
1,0.23,0,1
1,0.61,2,
1,1.071,0,0
1,0.214,0,0
1,0.431,0,1
1,0.089,0,0
8,0.003,2,
7,0.485,2,
